"PK","SK","bornDate","bovineId","breed","category","color","confirmationMethod","createdAt","currentLactationNumber","currentPregnancyId","enabled","endDate","expectedDueDate","farmId","fatherId","fatherNameSnapshot","gender","GSI1PK","GSI1SK","GSI2PK","GSI2SK","lactationNumber","motherId","motherNameSnapshot","name","notes","origin","photoUrl","serviceDate","startDate","status","updatedAt"
"BOVINE#168","PROFILE","2024-04-28","168","Holstein","heifer","Blanco y negro","","2024-04-28T08:00:00Z","0","","true","","","FARM#001","UNKNOWN","Desconocido","female","PROFILE","BOVINE#168","","","","UNKNOWN","Desconocido","Estrella","""Se compra a temprana edad y se suministra concentrado y lacto-remplazante, no se descornó, se evidencia que es mas delicada para la comida, no tolera el tomate o la zanahoria""","bought","","","","OPEN","2025-09-15T08:00:00Z"
"BOVINE#167","LACT#1","","","","","","","","","","","true","","","","","","LACT#ACTIVE","2025-01-25#BOVINE#167","","","1","","","","""Primera lactancia con perdida de cría, la cría perdida era una hembra, hay fiebre de leche y se trata con exito""","","","","2025-01-25","ACTIVE",""
"BOVINE#167","PREG#2025-07-06","","","","","","palpation","","","","","","2026-04-10","","","","","","","PREG#ACTIVE","2026-03-10#BOVINE#169","","","","","Se preña con toro común holstein","","","2025-07-06","","ACTIVE",""
"BOVINE#167","PROFILE","2022-08-31","167","Jersey","cow","Colorado","","2022-08-31T08:00:00Z","1","PREG#2025-06-01","true","","","FARM#001","250JE1834","""250JE1834-Sturgis ""","female","PROFILE","BOVINE#167","","","","064","064-La-Martina","Rosita","","bought","rosita.jpg","","","LACTATING","2025-09-11T08:00:00Z"
"BOVINE#171","PROFILE","2025-01-25","171","Jersey","bull","Marron claro","","2025-01-25T08:00:00Z","0","","true","","","FARM#001","0200JE01140","JEUSAM67823718-Whistler","male","PROFILE","BOVINE#171","","","","033","033-La-Martina","Bambi","""Este ternero se compra como reemplazo de la muerte de la primera cria de 167, se mejora en el cuidado se desteta a temprana edad 5 meses""","bought","","","","OPEN","2025-09-15T08:00:00Z"
"BOVINE#169","PROFILE","2024-04-28","169","Angus","heifer","Negro","","2024-04-28T08:00:00Z","0","","true","","","FARM#001","UNKNOWN","Desconocido","female","PROFILE","BOVINE#169","","","","UNKNOWN","Desconocido","Tormento","""Se compro a temprana edad y se suministró concentrado y lacto-reemplazante, ejemplar sin cuernos es mas tolerante a diferentes comidas como la zanahoria, el tomate y le gustan las gulupas""","bought","","","","OPEN","2024-04-28T08:00:00Z"
"BOVINE#170","PROFILE","2024-06-26","170","Jersey","bull","Marron","","2024-06-26T08:00:00Z","0","","true","","","FARM#001","250JE1834","JEUSA000173774063-Sturgis","male","PROFILE","BOVINE#170","","","","064","064-La-Martina","Arequipe","""Por descuido sufre un accidente en una edad muy temprana, La vaca fractura el ternero, se debe poner yeso y queda cojo por ruptura de tendon, se compra leche de vaca para su inicio, la mejor situacion para el es que no camine tanto por alimento o agua""","bought","","","","OPEN","2025-09-15T08:00:00Z"
